id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22419678,"101- OLD QUEBEC  Lofts Ste Anne 4 pers-
4 people",59212451,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81197,-71.20876,Entire home/apt,164,1,114,2021-01-02,3.02,7,345
22438639,Chambre à Limoilou (Nouvelle adresse),73098610,Elizabeth,,Saint-Sauveur,46.80907,-71.23917,Private room,17,2,5,2020-02-07,0.17,1,0
22468105,Confort près du vieux Québec,33372250,Manon,,Maizerets,46.84008,-71.21694,Private room,65,1,81,2020-09-27,2.14,1,365
22483785,Charming apartment in the heart of Quebec City.,1872378,Julie,,Saint-Jean-Baptiste,46.80958,-71.22101,Entire home/apt,39,30,74,2020-02-15,1.95,1,0
22494956,Private bedroom / Queen bed / Private entrance,165000158,Lucile Et Roger,,Cité Universitaire,46.78085,-71.30401,Private room,85,30,3,2019-08-29,0.08,3,343
22495622,2 bedrooms / Queen bed / Private entrance,165000158,Lucile Et Roger,,Cité Universitaire,46.78063,-71.30353,Entire home/apt,150,30,5,2019-09-23,0.14,3,343
22496132,logement (1 or 3 bedrooms),165000158,Lucile Et Roger,,Cité Universitaire,46.78039,-71.30215,Entire home/apt,260,30,37,2020-01-04,1.01,3,343
22498477,Coach house in the heart of Old-Québec city,163072058,Francisco,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8114,-71.20738,Entire home/apt,165,1,90,2020-09-07,2.45,4,291
22562475,Downtown 2BR duplex w FREE parkings & AC,4128598,Chelsea,,Montcalm,46.80223,-71.23572,Entire home/apt,175,30,56,2020-03-05,1.58,1,270
22586183,#301123 grand 3 1/2 calme moderne ville & nature,166060116,Melanie,,Saint-Émile,46.87551,-71.34339,Entire home/apt,78,1,249,2021-01-29,6.73,1,0
22599567,Très grande chambre avec vue.,51106478,Nathalie,,Quartier 5-2,46.8782,-71.20353,Private room,69,2,2,2019-10-18,0.09,1,71
22634513,103- OLD QUEBEC  Lofts Ste Anne (2-3 pers.people),59212451,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81293,-71.21014,Entire home/apt,129,1,106,2020-09-04,2.88,7,346
22646124,102- OLD QUEBEC  Lofts Ste-Anne  2 pers (2 people),59212451,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81378,-71.20668,Entire home/apt,135,1,118,2020-09-26,3.17,7,357
22647486,201- OLD QUEBEC  Lofts Ste-Anne 4 pers (4 people),59212451,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81392,-71.20644,Entire home/apt,164,1,149,2020-11-07,4.07,7,344
22712711,"4 bedrooms, POOL / PARKING and kids area",18595147,Kevin,,Saint-Sauveur,46.80594,-71.26061,Entire home/apt,415,6,1,2018-12-27,0.04,1,0
22724999,Studios Ezi / Third floor,144633780,Patrick,,Saint-Roch,46.81575,-71.2209,Entire home/apt,250,2,81,2020-09-20,2.22,3,321
22725298,L'Aztèque - OUTDOORS close by,156243022,Mario & Marlene,,Val-Bélair,46.86248,-71.44731,Private room,55,2,68,2020-08-28,1.84,3,69
22726039,Studios Ezi / Second & Third floor,144633780,Patrick,,Saint-Roch,46.81575,-71.2209,Entire home/apt,850,2,18,2020-02-23,0.51,3,313
22729517,Sommet de la basse-ville / Downtown,167759614,North,,Saint-Sauveur,46.812,-71.23251,Entire home/apt,80,1,237,2021-02-07,7.17,1,0
22731663,Chez Linda,167794421,Linda,,Saint-Sauveur,46.80736,-71.24561,Entire home/apt,23,32,153,2020-10-24,4.13,1,303
22731998,Little House UpperTown Quebec city.,11431558,Francis,,Montcalm,46.80379,-71.22796,Entire home/apt,229,2,86,2021-01-07,2.51,3,1
